dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
2079,knn,5,uniform,multiclass_tasks,0.40003702332469454,,,,,0.7008974174340062
3022,knn,5,uniform,multiclass_tasks,0.6414141414141414,,,,,0.8898877665544331
3481,knn,5,uniform,multiclass_tasks,0.9047057371383431,,,,,0.9898911984345371
3549,knn,5,uniform,multiclass_tasks,0.994075630252101,,,,,0.9986418127938872
3560,knn,5,uniform,multiclass_tasks,0.205870253164557,,,,,0.5328139786337613
3573,knn,5,uniform,multiclass_tasks,0.9454428571428573,,,,,0.9901179199255136
9960,knn,5,uniform,multiclass_tasks,0.7667150586416642,,,,,0.9055831822606113
9964,knn,5,uniform,multiclass_tasks,0.9064622641509434,,,,,0.9865775312181831
9981,knn,5,uniform,multiclass_tasks,0.8555555555555555,,,,,0.9733555169753085
9985,knn,5,uniform,multiclass_tasks,0.5197958452338927,,,,,0.7474745940100502
3,knn,5,distance,balanced_binary_tasks,0.769728644200627,0.779391684684543,0.7551126590987273,0.7550121531449763,0.8673401563404332,0.8673401563404332
15,knn,5,distance,balanced_binary_tasks,0.9656935817805383,0.9558565138565139,0.9460000000000001,0.9498181970290428,0.9856427938808373,0.9856427938808373
29,knn,5,distance,balanced_binary_tasks,0.8304347826086955,0.8422537566741395,0.8462213225371119,0.8356879935745856,0.8856122937616995,0.8856122937616995
31,knn,5,distance,balanced_binary_tasks,0.75,0.6429546689457176,0.39333333333333337,0.4846189993285014,0.7545238095238095,0.7545238095238095
37,knn,5,distance,balanced_binary_tasks,0.7369446343130553,0.6492208960879038,0.5632478632478632,0.6000008433454188,0.7812649572649573,0.7812649572649573
43,knn,5,distance,balanced_binary_tasks,0.9043718758841836,0.8929543421037828,0.8626798615748891,0.8765501976611905,0.9442434844156027,0.9442434844156027
49,knn,5,distance,balanced_binary_tasks,0.8278070175438597,0.8278112276225373,0.9333077316948284,0.8741563995313284,0.8412208969609349,0.8412208969609349
219,knn,5,distance,balanced_binary_tasks,0.7027460041378184,0.756153395797797,0.7496447447998664,0.7393223932427238,0.7555650767357449,0.7555650767357449
9910,knn,5,distance,balanced_binary_tasks,0.7574021276595745,0.7626065995208534,0.802834927074278,0.7819657217477641,0.8331929716893957,0.8331929716893957
9946,knn,5,distance,balanced_binary_tasks,0.9666353383458647,0.9812981069273976,0.9290043290043289,0.9534687723570311,0.9894138665567235,0.9894138665567235
9957,knn,5,distance,balanced_binary_tasks,0.8405929919137467,0.7514009675637583,0.8109523809523809,0.7751557941835341,0.8925439876433664,0.8925439876433664
9976,knn,5,distance,balanced_binary_tasks,0.5373076923076924,0.5313289344332001,0.6361538461538462,0.5783470618006539,0.5673668639053255,0.5673668639053255
10093,knn,5,distance,balanced_binary_tasks,0.9985401459854014,0.9967741935483871,1.0,0.9983739837398374,0.9986842105263157,0.9986842105263157
14952,knn,5,distance,balanced_binary_tasks,0.9577477846055658,0.9544351033901531,0.9707591595396474,0.962490172012639,0.9859572162418215,0.9859572162418215
3021,knn,5,distance,disbalanced_binary_tasks,0.9636836343732895,0.8479178909325968,0.5023550724637681,0.624139357734559,0.8973373904278862,0.8973373904278862
